Timestamp,receiving pause,receiving turning,receiving brightening,receiving blinking,receiving circling,receiving _eyes,receiving _behaviors,respect pause,respect turning,respect brightening,respect blinking,respect circling,respect _eyes,respect _behaviors,willing pause,willing turning,willing brightening,willing blinking,willing circling,willing _eyes,willing _behaviors,exp with robot,"If you have experience with robots, could you write a short description about it?","Do you own a consumer robot like UNISROBO, KIROBO or Roomba?",Which of the following would you prefer to ask for information?,"If each of the following could help you to conduct a task with labor work, which would you prefer to ask for help?",Your age,Your gender,What's your student major?,"In general, how much do you have eye contact with speaker in a conversation.",Do you own a dog?,How much do you use voice assistant such as Amazon Echo/Google Home/Google Voice/Siri,Do you have experience as a waiter/waitress?,Do you have experience as a volunteer?,Will you interrupt someone in a conversation with others to ask for help?,Do you own a cat?
4/12/17 15:23,7,6,5,7,5,1,1,6,5,5,6,5,1,1,6,7,7,6,6,1,1,5,Play around with NAO.,No,"Search Engine like Google, Bing",Robot,25,Male,Computer Science,6,No,1,No,No,Yes,No
4/12/17 15:25,6,7,4,4,7,1,1,7,5,4,6,6,3,2,7,7,6,7,5,1,1,5,Write code for Baxter,No,"Search Engine like Google, Bing",Robot,24,Male,Electrical engineer ,6,No,3,No,Yes,Yes,No
4/12/17 15:27,4,7,7,6,7,2,2,6,5,5,5,6,1,1,7,6,5,6,7,1,1,1,Not yet,No,"Search Engine like Google, Bing",Human,24,Female,Economics,7,Yes,2,No,Yes,No,Yes
4/12/17 15:28,5,7,7,7,7,2,1,6,6,5,5,6,3,1,6,7,6,5,6,1,1,5,Use it to clean my room,Yes,Human,Human,26,Male,Electrical engineer ,6,No,2,No,Yes,Yes,No
4/12/17 15:30,5,6,6,6,7,1,2,7,7,5,6,6,1,1,7,7,7,7,6,1,1,1,Not yet,No,"Search Engine like Google, Bing",Human,22,Female,Mathematics,6,No,2,No,No,Yes,No
4/12/17 15:32,7,7,7,6,6,1,1,7,5,5,6,5,2,1,7,6,5,5,6,1,1,4,Tried drone before,No,"Search Engine like Google, Bing",Robot,24,Male,Electrical engineer ,6,Yes,4,No,Yes,Yes,No
4/12/17 15:33,5,7,7,6,6,2,1,6,7,6,7,5,1,1,7,7,4,5,5,2,2,3,No,No,Human,Human,26,Female,Mechanical engineering,7,No,2,No,No,Yes,No
4/12/17 15:35,5,7,6,7,7,2,1,7,7,6,6,6,1,2,7,6,6,5,5,2,2,5,Just played around with Baxter,No,"Search Engine like Google, Bing",Robot,27,Male,Computer Science,7,No,2,No,No,Maybe,No
4/12/17 15:37,6,6,7,6,7,1,1,7,7,5,6,6,1,1,7,7,6,6,6,2,2,2,Talked to NAO before,No,"Search Engine like Google, Bing",Human,25,Male,Electrical engineer ,5,No,1,No,No,Maybe,No
4/12/17 15:39,6,6,6,4,6,2,2,7,7,4,4,4,1,1,7,6,5,6,6,1,1,2,No experience,No,Human,Human,22,Male,Mechanical engineering,6,No,2,No,No,Yes,No
4/12/17 15:41,7,7,5,5,6,1,1,7,7,5,6,6,1,1,7,6,6,5,6,1,1,1,I have no experience,No,"Search Engine like Google, Bing",Human,29,Female,Economics,7,Yes,2,No,No,Yes,No
4/12/17 15:42,6,6,6,5,5,2,2,7,7,5,6,5,1,1,7,7,5,6,5,1,2,5,Programmed droplets,No,"Search Engine like Google, Bing",Robot,27,Male,Computer Science,6,No,2,No,Yes,No,No
4/12/17 15:46,6,6,5,6,6,1,1,7,6,7,6,6,2,1,7,6,7,7,7,1,1,3,Played drones with some of my friends,No,"Search Engine like Google, Bing",Robot,25,Male,Electrical engineer ,7,No,2,No,No,Maybe,No
