subject,perceptiontype,pause,turning,brightening,blinking,circling,_eye,_behavior,expwithrobot,ownrobot,informationsource,laborhelp,age,gender,major,eyecontact,owndog,expwithvoiceassistant,expwaiter,expvolunteer,interruptforhelp,owncat
P24,respect,7,5,5,6,5,2,1,4,No,"Search Engine like Google, Bing",Robot,24,Male,Electrical engineer ,6,Yes,4,No,Yes,Yes,No
P24,willing,7,6,5,5,6,1,1,4,No,"Search Engine like Google, Bing",Robot,24,Male,Electrical engineer ,6,Yes,4,No,Yes,Yes,No
P25,receiving,5,7,7,6,6,2,1,3,No,Human,Human,26,Female,Mechanical engineering,7,No,2,No,No,Yes,No
P25,respect,6,7,6,7,5,1,1,3,No,Human,Human,26,Female,Mechanical engineering,7,No,2,No,No,Yes,No
P25,willing,7,7,4,5,5,2,2,3,No,Human,Human,26,Female,Mechanical engineering,7,No,2,No,No,Yes,No
P26,receiving,5,7,6,7,7,2,1,5,No,"Search Engine like Google, Bing",Robot,27,Male,Computer Science,7,No,2,No,No,Maybe,No
P26,respect,7,7,6,6,6,1,2,5,No,"Search Engine like Google, Bing",Robot,27,Male,Computer Science,7,No,2,No,No,Maybe,No
P26,willing,7,6,6,5,5,2,2,5,No,"Search Engine like Google, Bing",Robot,27,Male,Computer Science,7,No,2,No,No,Maybe,No
P27,receiving,6,6,7,6,7,1,1,2,No,"Search Engine like Google, Bing",Human,25,Male,Electrical engineer ,5,No,1,No,No,Maybe,No
P27,respect,7,7,5,6,6,1,1,2,No,"Search Engine like Google, Bing",Human,25,Male,Electrical engineer ,5,No,1,No,No,Maybe,No
P27,willing,7,7,6,6,6,2,2,2,No,"Search Engine like Google, Bing",Human,25,Male,Electrical engineer ,5,No,1,No,No,Maybe,No
P28,receiving,6,6,6,4,6,2,2,2,No,Human,Human,22,Male,Mechanical engineering,6,No,2,No,No,Yes,No
P28,respect,7,7,4,4,4,1,1,2,No,Human,Human,22,Male,Mechanical engineering,6,No,2,No,No,Yes,No
P28,willing,7,6,5,6,6,1,1,2,No,Human,Human,22,Male,Mechanical engineering,6,No,2,No,No,Yes,No
P29,receiving,7,7,5,5,6,1,1,1,No,"Search Engine like Google, Bing",Human,29,Female,Economics,7,Yes,2,No,No,Yes,No
P29,respect,7,7,5,6,6,1,1,1,No,"Search Engine like Google, Bing",Human,29,Female,Economics,7,Yes,2,No,No,Yes,No
P29,willing,7,6,6,5,6,1,1,1,No,"Search Engine like Google, Bing",Human,29,Female,Economics,7,Yes,2,No,No,Yes,No
P30,receiving,6,6,6,5,5,2,2,5,No,"Search Engine like Google, Bing",Robot,27,Male,Computer Science,6,No,2,No,Yes,No,No
P30,respect,7,7,5,6,5,1,1,5,No,"Search Engine like Google, Bing",Robot,27,Male,Computer Science,6,No,2,No,Yes,No,No
P30,willing,7,7,5,6,5,1,2,5,No,"Search Engine like Google, Bing",Robot,27,Male,Computer Science,6,No,2,No,Yes,No,No
P31,receiving,6,6,5,6,6,1,1,3,No,"Search Engine like Google, Bing",Robot,25,Male,Electrical engineer ,7,No,2,No,No,Maybe,No
P31,respect,7,6,7,6,6,2,1,3,No,"Search Engine like Google, Bing",Robot,25,Male,Electrical engineer ,7,No,2,No,No,Maybe,No
P31,willing,7,6,7,7,7,1,1,3,No,"Search Engine like Google, Bing",Robot,25,Male,Electrical engineer ,7,No,2,No,No,Maybe,No
